"time","h"
41.6,3.6
41.704,3.574
41.808,3.548
41.912,3.522
42.016,3.496
42.12,3.47
42.224,3.444
42.328,3.418
42.432,3.392
42.536,3.366
42.64,3.34
42.744,3.314
42.848,3.288
42.952,3.262
43.056,3.236
43.16,3.21
43.264,3.184
43.368,3.158
43.472,3.132
43.576,3.106
43.68,3.08
43.784,3.054
43.888,3.028
43.992,3.002
44.096,2.976
44.2,2.95
44.304,2.924
44.408,2.898
44.512,2.872
44.616,2.846
44.72,2.82
44.824,2.794
44.928,2.768
45.032,2.742
45.136,2.716
45.24,2.69
45.344,2.664
45.448,2.638
45.552,2.612
45.656,2.586
45.76,2.56
45.864,2.534
45.968,2.508
46.072,2.482
46.176,2.456
46.28,2.43
46.384,2.404
46.488,2.378
46.592,2.352
46.696,2.326
46.8,2.3
46.904,2.274
47.008,2.248
47.112,2.222
47.216,2.196
47.32,2.17
47.424,2.144
47.528,2.118
47.632,2.092
47.736,2.066
47.84,2.04
47.944,2.014
48.048,1.988
48.152,1.962
48.256,1.936
48.36,1.91
48.464,1.884
48.568,1.858
48.672,1.832
48.776,1.806
48.88,1.78
48.984,1.754
49.088,1.728
49.192,1.702
49.296,1.676
49.4,1.65
49.504,1.624
49.608,1.598
49.712,1.572
49.816,1.546
49.92,1.52
50.024,1.494
50.128,1.468
50.232,1.442
50.336,1.416
50.44,1.39
50.544,1.364
50.648,1.338
50.752,1.312
50.856,1.286
50.96,1.26
51.064,1.234
51.168,1.208
51.272,1.182
51.376,1.156
51.48,1.13
51.584,1.104
51.688,1.078
51.792,1.052
51.896,1.026
52,1
52,1
